ID;number_of_messages;mean_time
421;1;0.00
121;1;0.00
441;1;0.00
007;1;0.00
247;1;0.00
108;2;11027.00
3a8;7;2821.00
307;1;0.00
008;64;303.68
181;52;360.18
025;78;246.91
368;7;2819.33
388;7;2821.33
005;4;5775.67
0a0;2;10540.00
202;62;316.54
004;62;316.33
109;7;2854.50
224;61;318.85
207;14;1323.77
201;62;316.54
328;7;2800.50
182;53;353.13
308;7;2804.00
325;14;1321.38
128;7;2800.00
309;4;119.67
430;4;5750.00
348;1;0.00
32a;3;8609.00
227;14;1322.15
305;14;1322.54
461;1;0.00
345;6;2857.80
30a;3;8607.50
046;7;2874.33
204;7;2873.83
3c8;1;0.00
